"decimalLongitude","decimalLatitude","countryCode","ID","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
76.16993,26.045022,"IN",24,26.0535011291504,13.9930009841919,41.1898040771484,639.129638671875,42.1319999694824,8.15999984741211,33.9720001220703,29.1526660919189,25.0106678009033,33.1940002441406,17.3600006103516,767,277,2,159.939178466797,664,12,69,15
73.869381,29.934154,"IN",25,25.2766666412354,14.6166667938232,40.310718536377,789.773559570312,41.9080009460449,5.64799976348877,36.2600021362305,31.8653335571289,20.3473339080811,33.7320022583008,14.5913333892822,256,72,2,111.071250915527,180,11,104,22
77.9598,11.647656,"IN",26,28.166166305542,11.333667755127,62.3825836181641,206.842224121094,37.5719985961914,19.4039993286133,18.1679992675781,27.8913345336914,27.7453346252441,30.771333694458,25.4540004730225,870,188,8,73.7243347167969,418,32,160,141
75.838682,25.232804,"IN",27,26.5073337554932,12.4313335418701,38.3068351745605,612.854431152344,42.5279998779297,10.076000213623,32.4519996643066,28.9973335266113,25.4593334197998,33.7213325500488,18.2273330688477,726,256,3,157.331451416016,621,10,71,13
75.526114,20.991052,"IN",28,27.6416664123535,13.9266662597656,48.2025032043457,406.265869140625,42.3359985351562,13.4440002441406,28.8919982910156,27.5453338623047,28.8726654052734,33.2533340454102,22.8273334503174,789,223,1,128.13249206543,569,7,150,25
75.556728,21.017995,"IN",29,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.526114,20.991052,"IN",30,27.6416664123535,13.9266662597656,48.2025032043457,406.265869140625,42.3359985351562,13.4440002441406,28.8919982910156,27.5453338623047,28.8726654052734,33.2533340454102,22.8273334503174,789,223,1,128.13249206543,569,7,150,25
75.551703,21.027064,"IN",31,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.551703,21.027064,"IN",32,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.551703,21.027064,"IN",33,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
